,minimum,25th centile,median,75th centile,maximum
L-BFGS-B with 2 Hessian corrections,2.30654e-11,1.2383e-10,1.57684e-10,3.93084,3.93084
L-BFGS-B with 20 Hessian corrections,1.06204e-18,1.70663e-17,5.67235e-15,3.93084,3.93084
