,minimum,25th centile,median,75th centile,maximum
L-BFGS-B with 2 Hessian corrections,1.74156e-20,1.19054e-17,1.13779e-15,3.3576e-15,4.68664e-13
L-BFGS-B with 20 Hessian corrections,3.39836e-20,2.33591e-19,1.4195e-18,1.76694e-18,6.79141e-14
